[2026-08-07 06:14:55,979][OpenGL.acceleratesupport][INFO] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'
[2026-08-07 06:14:59,148][robosuite_logs][WARNING] - No private macro file found!
[2026-08-07 06:14:59,148][robosuite_logs][WARNING] - It is recommended to use a private macro file
[2026-08-07 06:14:59,148][robosuite_logs][WARNING] - To setup, run: python /root/autodl-tmp/phantom/submodules/phantom-robosuite/robosuite/scripts/setup_macros.py
[2026-08-07 06:15:20,435][phantom.processors.hand_processor][ERROR] - Error processing frame 0: Edge hand
[2026-08-07 06:15:20,484][phantom.processors.hand_processor][ERROR] - Error processing frame 1: Edge hand
[2026-08-07 06:15:20,531][phantom.processors.hand_processor][ERROR] - Error processing frame 2: Edge hand
[2026-08-07 06:15:20,579][phantom.processors.hand_processor][ERROR] - Error processing frame 3: Edge hand
[2026-08-07 06:15:20,626][phantom.processors.hand_processor][ERROR] - Error processing frame 4: Edge hand
[2026-08-07 06:15:20,669][phantom.processors.hand_processor][ERROR] - Error processing frame 5: Edge hand
[2026-08-07 06:15:20,712][phantom.processors.hand_processor][ERROR] - Error processing frame 6: Edge hand
[2026-08-07 06:15:20,756][phantom.processors.hand_processor][ERROR] - Error processing frame 7: Edge hand
[2026-08-07 06:15:20,806][phantom.processors.hand_processor][ERROR] - Error processing frame 8: Edge hand
[2026-08-07 06:15:20,852][phantom.processors.hand_processor][ERROR] - Error processing frame 9: Edge hand
[2026-08-07 06:15:20,898][phantom.processors.hand_processor][ERROR] - Error processing frame 10: Edge hand
[2026-08-07 06:15:20,940][phantom.processors.hand_processor][ERROR] - Error processing frame 11: Edge hand
[2026-08-07 06:15:20,981][phantom.processors.hand_processor][ERROR] - Error processing frame 12: Edge hand
[2026-08-07 06:15:21,024][phantom.processors.hand_processor][ERROR] - Error processing frame 13: Edge hand
[2026-08-07 06:15:21,066][phantom.processors.hand_processor][ERROR] - Error processing frame 14: Edge hand
[2026-08-07 06:15:21,111][phantom.processors.hand_processor][ERROR] - Error processing frame 15: Edge hand
[2026-08-07 06:15:21,157][phantom.processors.hand_processor][ERROR] - Error processing frame 16: Edge hand
[2026-08-07 06:15:21,203][phantom.processors.hand_processor][ERROR] - Error processing frame 17: Edge hand
[2026-08-07 06:15:21,248][phantom.processors.hand_processor][ERROR] - Error processing frame 18: Edge hand
